yearID,,W,L,Win%,Quartile,IPouts,R,H,2B,3B,HR,BB,SO,SB,RA,SHO,SV,HA,HRA,BBA,SOA,E,DP,FP,ERA,WHIP
1916,,79,75,0.512987013,2,4329,3.818181818,8.194805195,1.175324675,0.324675325,0.090909091,4.071428571,4.155844156,1.519480519,3.538961039,0.058441558,0.084415584,8.38961039,0.097402597,3.103896104,3.279220779,1.61038961,0.779220779,0.963,2.58,0.007965008
1916,,60,93,0.392156863,4,4065,3.111111111,7.993464052,1.013071895,0.483660131,0.163398693,2.189542484,4.254901961,1.189542484,4.111111111,0.08496732,0.098039216,8.699346405,0.202614379,2.908496732,3.45751634,1.784313725,0.810457516,0.957,3.14,0.008566674
1916,,76,77,0.496732026,3,4290,3.503267974,8.091503268,1.111111111,0.392156863,0.078431373,3.496732026,3.901960784,1.209150327,3.549019608,0.071895425,0.045751634,8.307189542,0.091503268,3.202614379,4.614379085,1.516339869,0.777777778,0.964,2.67,0.008048814
1917,,90,62,0.592105263,1,4263,3.651315789,8.177631579,1.302631579,0.421052632,0.092105263,3.065789474,3.111842105,0.690789474,2.986842105,0.098684211,0.046052632,7.875,0.078947368,2.717105263,3.348684211,1.203947368,0.763157895,0.972,2.2,0.00745398
1917,,70,81,0.463576159,3,4263,3.38410596,8.602649007,1.052980132,0.516556291,0.165562914,2.21192053,3.490066225,0.860927152,3.701986755,0.052980132,0.059602649,8.529801325,0.21192053,2.682119205,3.854304636,1.622516556,0.675496689,0.962,2.78,0.007890162
1917,,72,81,0.470588235,3,4272,3.503267974,8.366013072,1.104575163,0.490196078,0.14379085,2.790849673,3.836601307,1.013071895,3.607843137,0.14379085,0.019607843,8.555555556,0.124183007,2.424836601,3.875816993,1.464052288,0.797385621,0.966,2.77,0.00771095
1917,,100,54,0.649350649,1,4272,4.25974026,8.318181818,0.987012987,0.525974026,0.116883117,3.38961039,3.11038961,1.422077922,3.012987013,0.142857143,0.136363636,8.025974026,0.064935065,2.681818182,3.357142857,1.298701299,0.75974026,0.968,2.16,0.007519517
1917,,74,80,0.480519481,3,4212,3.584415584,7.980519481,1.25974026,0.435064935,0.11038961,2.694805195,3.88961039,0.824675325,3.681818182,0.103896104,0.058441558,8.461038961,0.220779221,2.428571429,4.246753247,1.733766234,0.785714286,0.959,2.62,0.007756133
1917,,78,76,0.506493506,2,4191,3.902597403,8.993506494,1.272727273,0.649350649,0.168831169,2.025974026,3.097402597,0.993506494,3.967532468,0.077922078,0.038961039,8.818181818,0.12987013,2.61038961,3.168831169,1.603896104,0.779220779,0.962,2.7,0.008180796
1917,,88,66,0.571428571,1,4236,3.792207792,7.948051948,1.415584416,0.415584416,0.084415584,3.564935065,3.87012987,1.363636364,3.525974026,0.12987013,0.142857143,8.246753247,0.11038961,2.844155844,2.928571429,1.571428571,0.883116883,0.964,2.52,0.007854751
1917,,78,75,0.509803922,2,4188,4.176470588,8.607843137,1.333333333,0.503267974,0.163398693,3.156862745,3.111111111,1.065359477,3.77124183,0.130718954,0.098039216,7.901960784,0.078431373,3.294117647,3.37254902,1.529411765,0.620915033,0.964,2.56,0.008020113
1917,,98,56,0.636363636,1,4278,4.123376623,8.831168831,1.103896104,0.461038961,0.253246753,2.422077922,3.461038961,1.051948052,2.967532468,0.116883117,0.090909091,7.928571429,0.188311688,2.123376623,3.577922078,1.350649351,0.792207792,0.968,2.27,0.007049052
